,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,bus_stop,subway,park,school,police,hospital,parrilla,gimnasio,sum,pileta,hidromasaje,vigilancia,playrooom,cancha,solarium,al_frente,nuevo,lavadero,aire,calefaccion,luminoso,garage,balcon,baulera,terraza
2813,135000.0,69.0,69.0,1956.521739130435,1956.521739130435,3.0,14.0,1.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2822,75000.0,49.0,34.0,1530.6122448979593,2205.8823529411766,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
2824,79900.0,35.0,35.0,2282.857142857143,2282.857142857143,2.0,10.0,0.0,1.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2833,198000.0,80.0,77.0,2475.0,2571.428571428572,4.0,12.0,0.0,0.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2841,290000.0,90.0,75.0,3222.222222222222,3866.666666666666,3.0,7.0,0.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
2847,67000.0,25.0,25.0,2680.0,2680.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2865,177000.0,58.0,54.0,3051.7241379310344,3277.777777777778,3.0,7.0,0.0,2.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2869,185000.0,89.0,89.0,2078.6516853932585,2078.6516853932585,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2881,79900.0,47.0,33.0,1700.0,2421.212121212121,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2887,85000.0,50.0,40.0,1700.0,2125.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2966,520000.0,314.0,246.0,1656.0509554140128,2113.8211382113823,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1
2972,249500.0,95.0,63.0,2626.315789473684,3960.31746031746,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2977,269000.0,74.0,67.0,3635.135135135135,4014.925373134328,3.0,1.0,0.0,2.0,4.0,1.0,0.0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0
3001,395000.0,152.0,125.0,2598.684210526316,3160.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0
3022,169900.0,102.0,91.0,1665.686274509804,1867.032967032967,3.0,13.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3024,124000.0,37.0,32.0,3351.351351351351,3875.0,1.0,12.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
3041,140000.0,47.0,44.0,2978.723404255319,3181.818181818182,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3064,210000.0,84.0,41.0,2500.0,5121.951219512195,1.0,20.0,1.0,4.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
3069,177000.0,69.0,60.0,2565.217391304348,2950.0,3.0,12.0,1.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
3077,97500.0,38.0,38.0,2565.7894736842104,2565.7894736842104,1.0,9.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
3079,118000.0,43.0,39.0,2744.1860465116283,3025.641025641026,1.0,12.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
3082,415000.0,148.0,140.0,2804.054054054054,2964.285714285714,5.0,3.0,1.0,1.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0
3120,125900.0,53.0,45.0,2375.4716981132074,2797.777777777778,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3126,187000.0,56.0,56.0,3339.285714285714,3339.285714285714,2.0,7.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
