,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,bus_stop,subway,park,school,police,hospital,parrilla,gimnasio,sum,pileta,hidromasaje,vigilancia,playrooom,cancha,solarium,al_frente,nuevo,lavadero,aire,calefaccion,luminoso,garage,balcon,baulera,terraza,Almagro,Barrio Norte,Belgrano,Caballito,Flores,Palermo,Recoleta,San Telmo,Villa Crespo,Villa Urquiza
19,-34.5620844,-58.4566864,240000.0,57.0,54.0,4210.526315789473,4444.444444444444,2.0,20.0,1.0,4.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
20,-34.5621457,-58.449657,550000.0,160.0,150.0,3437.5,3666.666666666666,4.0,2.0,0.0,3.0,2.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
21,-34.5976786,-58.4430195,62000.0,33.0,31.0,1878.7878787878788,2000.0,1.0,6.0,0.0,0.0,4.0,1.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
22,-34.565318065999996,-58.44175186020001,1100000.0,310.0,300.0,3548.3870967741937,3666.666666666666,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
23,-34.5652650561,-58.438232801999995,237895.0,69.0,53.0,3447.753623188406,4488.584905660377,2.0,10.0,0.0,3.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
24,-34.5652650561,-58.438232801999995,237895.0,69.0,53.0,3447.753623188406,4488.584905660377,2.0,10.0,0.0,3.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
25,-34.6255474,-58.4688765,99000.0,65.0,62.0,1523.0769230769226,1596.774193548387,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,-34.588348789899996,-58.3900529339,620000.0,191.0,181.0,3246.0732984293195,3425.414364640884,5.0,3.0,0.0,3.0,2.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
27,-34.5640079,-58.45670429999999,92600.0,33.0,33.0,2806.060606060606,2806.060606060606,1.0,8.0,1.0,3.0,1.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
28,-34.610434999999995,-58.443029,445000.0,158.0,154.0,2816.4556962025317,2889.6103896103896,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
