,Unnamed: 0.1,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,bus_stop,subway,park,school,police,hospital,Almagro,Barrio Norte,Belgrano,Caballito,Flores,Palermo,Recoleta,San Telmo,Villa Crespo,Villa Urquiza,_parrilla,_gimnasio,_sum,_pileta,_hidromasaje,_vigilancia,_playrooom,_cancha,_solarium,_al_frente,_nuevo?,_lavadero,_aire,_calefaccion,_luminoso,_garage,_balcon,_baulera,_terraza
133,1142,320000.0,108.0,100.0,2962.962962962963,3200.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
134,1143,630000.0,309.0,309.0,2038.8349514563104,2038.8349514563104,5.0,13.0,0.0,0.0,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
135,1156,307650.0,90.0,84.0,3418.333333333333,3662.5,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
136,1157,385014.0,90.0,84.0,4277.933333333333,4583.5,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
137,1158,587895.0,140.0,120.0,4199.25,4899.125,4.0,1.0,0.0,6.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
138,1159,506468.0,110.0,100.0,4604.254545454545,5064.68,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
139,1162,95000.0,40.0,25.0,2375.0,3800.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
140,1166,540000.0,170.0,162.0,3176.470588235294,3333.333333333333,4.0,17.0,0.0,2.0,4.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0
141,1170,410000.0,134.0,124.0,3059.7014925373132,3306.451612903226,4.0,17.0,0.0,2.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
142,1173,360000.0,151.0,151.0,2384.105960264901,2384.105960264901,6.0,14.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
