,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,Almagro,Barrio Norte,Belgrano,Caballito,Flores,Palermo,Recoleta,San Telmo,Villa Crespo,Villa Urquiza,_parrilla,_gimnasio,_sum,_pileta,_hidromasaje,_vigilancia,_playrooom,_cancha,_solarium,_al_frente,_nuevo?,_lavadero,_aire,_calefaccion,_luminoso,_garage,_balcon,_baulera,_terraza
36,440000.0,175.0,175.0,2514.285714285714,2514.285714285714,4.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1
37,267500.0,127.0,123.0,2106.299212598425,2174.7967479674803,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
38,305000.0,120.0,114.0,2541.6666666666665,2675.438596491228,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
39,98000.0,37.0,37.0,2648.648648648649,2648.648648648649,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,135000.0,47.0,41.0,2872.340425531915,3292.682926829268,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
41,770000.0,153.0,153.0,5032.679738562091,5032.679738562091,4.0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1
42,70500.0,30.0,30.0,2350.0,2350.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
43,64500.0,28.0,25.0,2303.5714285714284,2580.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
44,91000.0,42.0,37.0,2166.6666666666665,2459.45945945946,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
45,179000.0,70.0,61.0,2557.142857142857,2934.426229508197,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
46,210000.0,77.0,72.0,2727.2727272727275,2916.666666666666,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
47,355000.0,200.0,178.0,1775.0,1994.3820224719104,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
48,108356.0,41.0,36.0,2642.829268292683,3009.888888888889,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
49,120000.0,56.0,47.0,2142.8571428571427,2553.191489361701,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
50,690000.0,235.0,235.0,2936.170212765957,2936.170212765957,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
51,520000.0,150.0,130.0,3466.666666666666,4000.0,3.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
52,378000.0,140.0,136.0,2700.0,2779.4117647058824,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
53,72000.0,32.0,32.0,2250.0,2250.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,120000.0,120.0,50.0,1000.0,2400.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
55,379900.0,175.0,175.0,2170.8571428571427,2170.8571428571427,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0
56,95000.0,43.0,43.0,2209.3023255813955,2209.3023255813955,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,117000.0,44.0,44.0,2659.090909090909,2659.090909090909,2.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
58,230000.0,97.0,97.0,2371.134020618557,2371.1340206185573,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
59,250000.0,122.0,122.0,2049.1803278688526,2049.180327868853,4.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0
61,65500.0,28.0,25.0,2339.285714285714,2620.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
62,310000.0,106.0,100.0,2924.528301886793,3100.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
63,167000.0,43.0,43.0,3883.720930232558,3883.720930232558,2.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
64,94000.0,55.0,55.0,1709.090909090909,1709.090909090909,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1
65,105000.0,28.0,28.0,3750.0,3750.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
66,130000.0,37.0,37.0,3513.5135135135133,3513.5135135135133,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
67,235000.0,61.0,61.0,3852.4590163934417,3852.4590163934417,2.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
68,155000.0,43.0,37.0,3604.6511627906975,4189.189189189189,1.0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1
69,245000.0,75.0,51.0,3266.666666666666,4803.921568627451,1.0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1
72,78490.0,38.0,32.0,2065.5263157894738,2452.8125,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
74,100000.0,29.0,29.0,3448.2758620689656,3448.2758620689656,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
75,100000.0,50.0,45.0,2000.0,2222.222222222222,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
76,105000.0,50.0,45.0,2100.0,2333.333333333333,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
77,290000.0,104.0,102.0,2788.4615384615386,2843.137254901961,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
78,85000.0,51.0,51.0,1666.666666666667,1666.666666666667,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
79,289000.0,228.0,167.0,1267.5438596491229,1730.5389221556884,6.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
80,289000.0,228.0,167.0,1267.5438596491229,1730.5389221556884,5.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
81,289000.0,228.0,167.0,1267.5438596491229,1730.5389221556884,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
82,158000.0,71.0,62.0,2225.3521126760565,2548.387096774193,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
83,585000.0,304.0,185.0,1924.342105263158,3162.162162162162,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
84,585000.0,304.0,185.0,1924.342105263158,3162.162162162162,6.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
85,465000.0,159.0,140.0,2924.528301886793,3321.4285714285716,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1
86,185000.0,36.0,33.0,5138.88888888889,5606.060606060605,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
87,63000.0,31.0,31.0,2032.2580645161293,2032.2580645161293,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
88,360000.0,147.0,143.0,2448.9795918367345,2517.482517482517,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,1450000.0,463.0,286.0,3131.7494600431964,5069.93006993007,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
90,179500.0,40.0,4.0,4487.5,44875.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0
91,375000.0,137.0,137.0,2737.2262773722628,2737.2262773722628,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0
92,104900.0,55.0,55.0,1907.2727272727273,1907.2727272727273,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
93,249000.0,158.0,158.0,1575.9493670886077,1575.9493670886075,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
95,92000.0,68.0,35.0,1352.9411764705885,2628.5714285714284,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
96,138000.0,35.0,35.0,3942.8571428571427,3942.857142857143,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
97,88000.0,46.0,46.0,1913.0434782608695,1913.043478260869,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
98,103500.0,51.0,51.0,2029.4117647058824,2029.411764705883,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1
99,86000.0,44.0,44.0,1954.5454545454545,1954.5454545454545,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
100,74000.0,55.0,45.0,1345.4545454545455,1644.4444444444446,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
101,96000.0,51.0,46.0,1882.3529411764707,2086.9565217391305,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
102,238000.0,131.0,122.0,1816.793893129771,1950.819672131148,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
103,134000.0,34.0,30.0,3941.176470588234,4466.666666666667,1.0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
104,1080000.0,199.0,191.0,5427.13567839196,5654.450261780105,5.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1
105,450000.0,160.0,140.0,2812.5,3214.285714285714,5.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1
127,1250000.0,251.0,238.0,4980.0796812748995,5252.100840336136,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
131,698000.0,281.0,241.0,2483.985765124555,2896.2655601659753,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
132,430000.0,149.0,139.0,2885.9060402684563,3093.5251798561158,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
133,320000.0,108.0,100.0,2962.962962962963,3200.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
134,630000.0,309.0,309.0,2038.8349514563104,2038.8349514563104,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
135,307650.0,90.0,84.0,3418.333333333333,3662.5,3.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
136,385014.0,90.0,84.0,4277.933333333333,4583.5,3.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
137,587895.0,140.0,120.0,4199.25,4899.125,4.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
138,506468.0,110.0,100.0,4604.254545454545,5064.68,3.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
139,95000.0,40.0,25.0,2375.0,3800.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
140,540000.0,170.0,162.0,3176.470588235294,3333.333333333333,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0
141,410000.0,134.0,124.0,3059.7014925373132,3306.451612903226,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
142,360000.0,151.0,151.0,2384.105960264901,2384.105960264901,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,660000.0,160.0,152.0,4125.0,4342.105263157895,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0
144,590000.0,247.0,116.0,2388.663967611336,5086.206896551725,4.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
145,438000.0,130.0,121.0,3369.230769230769,3619.834710743801,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
146,240000.0,76.0,76.0,3157.894736842105,3157.894736842105,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
147,2850000.0,529.0,431.0,5387.523629489603,6612.529002320185,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1
